Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",133.146800,-82.968800,-90.000000,top
"C2","1uF","C_0603_1608Metric",43.942000,-88.138000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",43.942000,-89.687400,0.000000,top
"C4","0.1uF","C_0603_1608Metric",39.878000,-91.948000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",53.004000,-96.186000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",49.104000,-96.186000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",45.692000,-96.586000,180.000000,top
"C8","4.7uF","C_0603_1608Metric",56.104000,-96.836000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",45.692000,-97.586000,180.000000,top
"C10","0.01uF","C_0402_1005Metric",45.692000,-100.336000,180.000000,top
"C11","4700pF","C_0402_1005Metric",58.254000,-99.286000,0.000000,top
"C12","100pF","C_0402_1005Metric",58.254000,-100.336000,0.000000,top
"C13","1uF","C_0603_1608Metric",49.554000,-102.786000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",50.104000,-101.586000,0.000000,top
"C15","0.1uF","C_0402_1005Metric",54.604000,-100.836000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",52.004000,-101.586000,180.000000,top
"C21","10uF","C_1206_3216Metric",48.754000,-104.686000,0.000000,top
"C22","1uF","C_0603_1608Metric",52.554000,-102.786000,180.000000,top
"C23","10uF","C_1206_3216Metric",53.354000,-104.686000,180.000000,top
"C24","68uF","PCAP_EEHZ_F_PAN",40.849000,-109.836000,-90.000000,top
"C25","10uF","C_1206_3216Metric",48.754000,-106.986000,0.000000,top
"C26","10uF","C_1206_3216Metric",53.354000,-106.986000,180.000000,top
"C27","0.1uF","C_0402_1005Metric",46.253400,-110.794800,-90.000000,top
"C28","10uF","C_1206_3216Metric",53.354000,-109.286000,180.000000,top
"C29","0.1uF","C_0402_1005Metric",58.420000,-110.744000,-90.000000,top
"C30","0.1uF","C_0603_1608Metric",89.662000,-113.157000,0.000000,top
"C31","1uF","C_0603_1608Metric",62.004000,-110.836000,-90.000000,top
"C32","100uF","CAP_EEHZK1V101XP_PAN",67.564000,-110.836000,-90.000000,top
"C33","0.1uF","C_0603_1608Metric",113.170500,-118.386500,0.000000,top
"C34","0.1uF","C_0603_1608Metric",117.320500,-118.386500,180.000000,top
"C35","0.1uF","C_0603_1608Metric",76.945500,-122.385500,180.000000,top
"C36","0.1uF","C_0603_1608Metric",72.881500,-124.620700,180.000000,top
"C37","0.1uF","C_0603_1608Metric",84.293501,-123.380500,90.000000,top
"C38","22uF","C_1210_3225Metric",124.445500,-122.936500,-90.000000,top
"C39","1uF","C_0603_1608Metric",72.881500,-126.195500,180.000000,top
"C40","1uF","CAP_293D_B_VIS",81.263500,-123.464500,-90.000000,top
"C41","10uF","C_1210_3225Metric",105.745500,-122.411500,-90.000000,top
"C42","1uF","C_0805_2012Metric",108.345500,-121.936500,-90.000000,top
"C43","1uF","C_0805_2012Metric",110.420500,-122.936500,-90.000000,top
"C44","4.7uF","C_0603_1608Metric",112.141000,-124.079000,-90.000000,top
"C45","1uF","C_0805_2012Metric",118.620500,-122.386500,-90.000000,top
"C46","22uF","C_1210_3225Metric",121.220500,-122.936500,-90.000000,top
"C47","10uF","CP_EIA-7343-43_Kemet-X",96.993501,-132.651500,-90.000000,top
"C48","0.1uF","C_0603_1608Metric",113.207500,-133.132500,0.000000,top
"C49","0.1uF","C_0603_1608Metric",117.357500,-133.126500,180.000000,top
"C50","0.1uF","C_0603_1608Metric",84.801501,-138.684000,180.000000,top
"C51","0.01uF","C_0603_1608Metric",85.344000,-140.208000,180.000000,top
"C52","4.7uF","C_0603_1608Metric",112.191800,-139.065000,-90.000000,top
"C53","0.1uF","C_0603_1608Metric",85.344000,-141.859000,180.000000,top
"C54","10uF","C_1210_3225Metric",105.775100,-137.139700,-90.000000,top
"C55","1uF","C_0805_2012Metric",110.448700,-137.698500,-90.000000,top
"C56","1uF","C_0805_2012Metric",108.365900,-136.682500,-90.000000,top
"C57","1uF","C_0805_2012Metric",118.632500,-137.132500,-90.000000,top
"C58","22uF","C_1210_3225Metric",121.232500,-137.682500,-90.000000,top
"C59","22uF","C_1210_3225Metric",124.432500,-137.682500,-90.000000,top
"C60","0.1uF","C_0603_1608Metric",110.617000,-147.955000,90.000000,top
"C61","0.001uF","C_0603_1608Metric",112.141000,-147.955000,90.000000,top
"C62","0.1uF","C_0603_1608Metric",104.267000,-149.746000,90.000000,top
"C63","0.1uF","C_0603_1608Metric",75.184000,-150.368000,90.000000,top
"C64","0.1uF","C_0603_1608Metric",89.408000,-151.638000,-90.000000,top
"C65","0.1uF","C_0603_1608Metric",112.141000,-156.845000,0.000000,top
"D1","MBR0540","D_SOD-123",131.775200,-123.901200,180.000000,top
"D2","1N4148W","D_SOD-123",81.372501,-132.016500,-90.000000,top
"D8","1N4148WT","D_SOD-523",50.419000,-141.035000,-90.000000,top
"D9","TSD18","D_SOD-323",44.831000,-82.854800,-90.000000,top
"D10","TSD12","D_SOD-323",132.486400,-107.619800,-90.000000,top
"D11","TSD05","D_SOD-323",85.877400,-82.236600,-90.000000,top
"D12","TSD18","D_SOD-323",83.845400,-82.253400,-90.000000,top
"D13","TSD03","D_SOD-323",99.771200,-83.210400,90.000000,top
"D14","TSD03","D_SOD-323",75.209400,-95.647800,-90.000000,top
"D15","TSD03","D_SOD-323",77.216000,-95.614200,-90.000000,top
"D16","TSD03","D_SOD-323",97.713800,-83.235800,90.000000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask3mm",30.480000,-147.320000,0.000000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask3mm",80.899000,-80.949800,0.000000,top
